a1,a2,a3,a4,a5,a6,a7,class
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,2,1,1,1,B
1,1,1,2,1,1,1,B
1,1,1,2,1,1,1,A
1,1,1,2,1,1,1,A
1,1,1,2,1,1,1,A
1,1,1,2,1,1,1,A
1,2,1,2,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,2,1,1,1,B
1,2,1,2,1,1,1,B
1,2,1,2,1,1,1,A
1,2,1,2,1,1,1,B
1,2,1,2,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,2,1,1,1,B
1,1,1,2,1,1,1,B
1,1,1,2,1,1,1,B
1,1,1,2,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,2,1,1,1,B
1,2,1,2,1,1,1,B
1,2,1,2,1,1,1,B
1,2,1,2,1,1,1,B
1,2,1,2,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,2,1,1,1,A
1,1,1,2,1,1,1,A
1,1,1,2,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,2,1,1,1,A
1,2,1,2,1,1,1,A
1,2,1,2,1,1,1,A
1,2,1,2,1,1,1,B
1,2,1,2,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,A
1,1,1,2,1,1,1,A
1,1,1,2,1,1,1,A
1,1,1,2,1,1,1,A
1,1,1,2,1,1,1,A
1,1,1,2,1,1,1,A
1,1,1,2,1,1,1,B
1,1,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,2,1,1,1,B
1,2,1,2,1,1,1,B
1,2,1,2,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,A
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,2,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,B
1,1,1,1,1,1,1,A
