FileName,NumAttribute,TotalSize,PerSplit,TrainingFile,TrainSize,TestFile,TestSize,TrainingAccuracy,TestingAccuracy,TrainingTime,TestingTime,NumTotalInstancesXClass0,NumTotalInstancesXClass1,NumResolvedUniqueSchemaInstancesXClass0,ResolvedUniqueSchemaInstancesXClass0,NumResolvedUniqueSchemaInstancesXClass1,ResolvedUniqueSchemaInstancesXClass1,NumPatternsXClass0,PatternsXClass0,NumPatternsXClass1,PatternsXClass1,NumEnergyCoefficients,EnergyCoefficients,EnergyCoefficientTime,PVal,HotellingTestTime
12-electricityData_Extended_453120Instances_7Att_CBDT.csv,7,453120,0.01,0.01_Train.csv,4531,0.01_Test.csv,448589,0.604502317369234,0.575161227760823,3.6461886,1.4427062,0,4531,0,,4,0000000#0001000#0100000#0101000#,0,,1,0*0*000#,99,,0.0016897,0.08991907,6.8878721
12-electricityData_Extended_453120Instances_7Att_CBDT.csv,7,453120,0.02,0.02_Train.csv,9062,0.02_Test.csv,444058,0.596225998675789,0.606152799859478,6.8493715,1.3271793,1900,7162,1,0101000#,3,0000000#0001000#0100000#,1,0101000#,2,000*000#0100000#,99,,0.0042655,0.08991907,7.690394
12-electricityData_Extended_453120Instances_7Att_CBDT.csv,7,453120,0.03,0.03_Train.csv,13593,0.03_Test.csv,439527,0.609872728610314,0.638868601928892,9.7072396,1.4212192,3974,9619,2,0001000#0101000#,2,0000000#0100000#,1,0*01000#,1,0*00000#,99,,0.0006718,0.08991907,6.8728927
12-electricityData_Extended_453120Instances_7Att_CBDT.csv,7,453120,0.04,0.04_Train.csv,18124,0.04_Test.csv,434996,0.637442065769146,0.63802195882261,13.089514,1.2974649,5077,13047,8,0001000#0001001#0001010#0001011#0101000#0101001#0101010#0101011#,8,0000000#0000001#0000010#0000011#0100000#0100001#0100010#0100011#,1,0*010**#,1,0*000**#,99,,0.0010935,0.004512545,8.2401261
12-electricityData_Extended_453120Instances_7Att_CBDT.csv,7,453120,0.05,0.05_Train.csv,22656,0.05_Test.csv,430464,0.640271892655367,0.636206512042819,16.8684326,1.3263749,7573,15083,7,0001000#0001010#0001011#0101000#0101001#0101010#0101011#,9,0000000#0000001#0000010#0000011#0001001#0100000#0100001#0100010#0100011#,3,0001011#0*010*0#01010**#,2,0001001#0*000**#,99,,0.001825,0.004512545,8.0497011
12-electricityData_Extended_453120Instances_7Att_CBDT.csv,7,453120,0.06,0.06_Train.csv,27187,0.06_Test.csv,425933,0.650126898885497,0.619005806077482,21.1446283,1.2668253,9012,18175,13,0000010#0000011#0001000#0001010#0001011#0100010#0100011#0101000#0101001#0101010#0101011#1000000#1100000#,5,0000000#0000001#0001001#0100000#0100001#,4,0*0*01*#0*010*0#01010**#1*00000#,2,0001001#0*0000*#,99,,0.0014313,0.02026505,6.9065931
12-electricityData_Extended_453120Instances_7Att_CBDT.csv,7,453120,0.07,0.07_Train.csv,31718,0.07_Test.csv,421402,0.604987704142758,0.590673513652047,23.5959114,1.2912698,15174,16544,20,0000010#0001000#0001010#0011010#0100000#0100010#0101000#0101010#0101110#0111010#0111110#1000000#1000010#1001000#1001010#1011011#1100000#1100010#1101000#1101010#,17,0000000#0000001#0000011#0001001#0001011#0100001#0100011#0101001#0101011#1000001#1000011#1001001#1001011#1100001#1100011#1101001#1101011#,5,0000010#00*10*0#01****0#1011011#1*0*0*0#,2,000000*#**0*0*1#,99,,0.0008215,0.6229711,7.1261895
12-electricityData_Extended_453120Instances_7Att_CBDT.csv,7,453120,0.08,0.08_Train.csv,36249,0.08_Test.csv,416871,0.639631438108637,0.620537288513713,27.6093699,1.2401261,8881,27368,19,0000010#0001000#0001001#0001010#0001011#0011010#0101000#0101010#0101011#0101110#0111010#0111110#1010001#1011001#1011011#1110001#1111001#1111010#1111011#,24,0000000#0000001#0000011#0100000#0100001#0100010#0100011#0101001#1000000#1000001#1000010#1000011#1001000#1001001#1001010#1001011#1100000#1100001#1100010#1100011#1101000#1101001#1101010#1101011#,5,0000010#00*10**#01010*0#01*1*1*#1*1*0**#,5,0000011#010001*#0101001#**0000*#1*0*0**#,99,,0.0016893,0.9973896,7.3708126
12-electricityData_Extended_453120Instances_7Att_CBDT.csv,7,453120,0.09,0.09_Train.csv,40780,0.09_Test.csv,412340,0.587224129475233,0.58825968860649,30.0123439,1.5606802,26527,14253,43,0000010#0000011#0001000#0001001#0001010#0001011#0011010#0100000#0100001#0100010#0100011#0101000#0101001#0101010#0101011#0101110#0111010#0111110#1000000#1000010#1000011#1001000#1001001#1001010#1001011#1010001#1011000#1011001#1011010#1011011#1100000#1100001#1100011#1101000#1101001#1101010#1101011#1110000#1110001#1111000#1111001#1111010#1111011#,4,0000000#0000001#1000001#1100010#,7,01*****#*00001*#100*0*0#101*0**#1100011#***10**#11**00*#,3,000000*#1000001#1100010#,99,,0.0013389,1,8.1384757
12-electricityData_Extended_453120Instances_7Att_CBDT.csv,7,453120,0.10,0.10_Train.csv,45312,0.10_Test.csv,407808,0.641441560734463,0.641441560734463,34.0558896,1.2118435,15706,29606,32,0000010#0001000#0001010#0001011#0011010#0101000#0101001#0101010#0101011#0101110#0111010#0111110#1000010#1001000#1001001#1001010#1001011#1010001#1011000#1011001#1011010#1011011#1101000#1101001#1101010#1101011#1110000#1110001#1111000#1111001#1111010#1111011#,15,0000000#0000001#0000011#0001001#0100000#0100001#0100010#0100011#1000000#1000001#1000011#1100000#1100001#1100010#1100011#,6,00*101*#01*1***#*000010#**010*0#1*010**#1*1*0**#,4,0001001#**0000*#**000*1#*10001*#,99,,0.0014359,1,8.1677823
12-electricityData_Extended_453120Instances_7Att_CBDT.csv,7,453120,0.20,0.20_Train.csv,90624,0.20_Test.csv,362496,0.58595956920904,0.58595956920904,67.8011526,1.1016551,59248,31376,43,0000010#0000011#0001000#0001010#0001011#0011010#0100000#0100001#0100010#0100011#0101000#0101001#0101010#0101011#0101110#0111010#0111110#1000000#1000010#1000011#1001000#1001001#1001010#1001011#1010001#1011000#1011001#1011010#1011011#1100000#1100001#1100010#1100011#1101000#1101001#1101010#1101011#1110000#1110001#1111000#1111001#1111010#1111011#,4,0000000#0000001#0001001#1000001#,6,00010*0#*0**01*#10010**#101*0**#1*0*0*0#*1*****#,3,000000*#0001001#1000001#,99,,0.0046597,1,6.9321353
12-electricityData_Extended_453120Instances_7Att_CBDT.csv,7,453120,0.30,0.30_Train.csv,135936,0.30_Test.csv,317184,0.594610699152542,0.594610699152542,104.5119705,1.0047194,83772,52164,41,0000010#0001000#0001010#0001011#0011010#0100000#0100010#0100011#0101000#0101001#0101010#0101011#0101110#0111010#0111110#1000000#1000010#1000011#1001000#1001001#1001010#1001011#1010001#1011000#1011001#1011010#1011011#1100000#1100001#1100010#1100011#1101000#1101001#1101010#1101011#1110000#1110001#1111000#1111001#1111010#1111011#,6,0000000#0000001#0000011#0001001#0100001#1000001#,11,0000010#00010*0#00*101*#0100011#010*0*0#01*1***#1000011#10010**#101*0**#1*0*0*0#11**0**#,5,000000*#0000011#0001001#0100001#1000001#,99,,0.0046494,1,7.7335996
12-electricityData_Extended_453120Instances_7Att_CBDT.csv,7,453120,0.40,0.40_Train.csv,181248,0.40_Test.csv,271872,0.640227754237288,0.640227754237288,135.7597039,0.8130207,62772,118476,33,0000010#0001000#0001010#0001011#0011010#0100011#0101000#0101001#0101010#0101011#0101110#0111010#0111110#1000011#1001000#1001001#1001010#1001011#1010001#1011000#1011001#1011010#1011011#1101000#1101001#1101010#1101011#1110000#1110001#1111000#1111001#1111010#1111011#,14,0000000#0000001#0000011#0001001#0100000#0100001#0100010#1000000#1000001#1000010#1100000#1100001#1100010#1100011#,8,0000010#00*101*#0100011#01*1***#1000011#**010*0#1*010**#1*1*0**#,6,0000011#0001001#0100010#**0000*#1*000*0#1100011#,99,,0.0008504,1,7.0682028
12-electricityData_Extended_453120Instances_7Att_CBDT.csv,7,453120,0.50,0.50_Train.csv,226560,0.50_Test.csv,226560,0.641441560734463,0.641441560734463,173.2008217,0.656192,78530,148030,32,0000010#0001000#0001010#0001011#0011010#0101000#0101001#0101010#0101011#0101110#0111010#0111110#1000010#1001000#1001001#1001010#1001011#1010001#1011000#1011001#1011010#1011011#1101000#1101001#1101010#1101011#1110000#1110001#1111000#1111001#1111010#1111011#,15,0000000#0000001#0000011#0001001#0100000#0100001#0100010#0100011#1000000#1000001#1000011#1100000#1100001#1100010#1100011#,6,00*101*#01*1***#*000010#**010*0#1*010**#1*1*0**#,4,0001001#**0000*#**000*1#*10001*#,99,,0.0014075,1,7.7671139
12-electricityData_Extended_453120Instances_7Att_CBDT.csv,7,453120,0.60,0.60_Train.csv,271872,0.60_Test.csv,181248,0.634180790960452,0.634180790960452,200.9437762,0.5080689,106770,165102,39,0000010#0001000#0001001#0001010#0001011#0011010#0100010#0100011#0101000#0101001#0101010#0101011#0101110#0111010#0111110#1000000#1000010#1000011#1001000#1001001#1001010#1001011#1010001#1011000#1011001#1011010#1011011#1100010#1100011#1101000#1101001#1101010#1101011#1110000#1110001#1111000#1111001#1111010#1111011#,8,0000000#0000001#0000011#0100000#0100001#1000001#1100000#1100001#,6,0*00010#0100011#100*0*0#***1***#1*0*01*#1*1*0**#,4,0000011#0*0000*#1000001#110000*#,99,,0.0010664,1,6.7430926
12-electricityData_Extended_453120Instances_7Att_CBDT.csv,7,453120,0.70,0.70_Train.csv,317184,0.70_Test.csv,135936,0.575454625706215,0.575454625706215,233.1287909,0.3958598,0,317184,0,,47,0000000#0000001#0000010#0000011#0001000#0001001#0001010#0001011#0011010#0100000#0100001#0100010#0100011#0101000#0101001#0101010#0101011#0101110#0111010#0111110#1000000#1000001#1000010#1000011#1001000#1001001#1001010#1001011#1010001#1011000#1011001#1011010#1011011#1100000#1100001#1100010#1100011#1101000#1101001#1101010#1101011#1110000#1110001#1111000#1111001#1111010#1111011#,0,,2,0******#1***0**#,99,,0.0012829,1,7.7139856
