FileName,NumAttribute,TotalSize,PerSplit,TrainingFile,TrainSize,TestFile,TestSize,TrainingAccuracy,TestingAccuracy,TrainingTime,TestingTime,NumTotalInstancesXClass0,NumTotalInstancesXClass1,NumResolvedUniqueSchemaInstancesXClass0,ResolvedUniqueSchemaInstancesXClass0,NumResolvedUniqueSchemaInstancesXClass1,ResolvedUniqueSchemaInstancesXClass1,NumPatternsXClass0,PatternsXClass0,NumPatternsXClass1,PatternsXClass1,NumEnergyCoefficients,EnergyCoefficients,EnergyCoefficientTime
07-electricitydiscretized-7Att_45312Ins_CBDT.csv,7,45312,0.8,Output-RawTrain-0.8.csv,36249,Output-RawTest-0.8.csv,9063,0.639631438,0.551804038,00:27.1,00:00.0,8881,27368,19,0000010#0001000#0001001#0001010#0001011#0011010#0101000#0101010#0101011#0101110#0111010#0111110#1010001#1011001#1011011#1110001#1111001#1111010#1111011#,24,0000000#0000001#0000011#0100000#0100001#0100010#0100011#0101001#1000000#1000001#1000010#1000011#1001000#1001001#1001010#1001011#1100000#1100001#1100010#1100011#1101000#1101001#1101010#1101011#,5,0000010#00*10**#01010*0#01*1*1*#1*1*0**#,5,0000011#010001*#0101001#**0000*#1*0*0**#,99,0000000:0.21875#0000001:-0.015625#0000010:0.046875#0000100:0.21875#0001000:0.078125#0010000:0.21875#0100000:-0.015625#1000000:-0.09375#0000011:0#0000101:-0.015625#0001001:0#0010001:-0.015625#0100001:0#1000001:-0.015625#0000110:0.046875#0001010:0.03125#0010010:0.046875#0100010:0#1000010:-0.015625#0001100:0.078125#0010100:0.21875#0100100:-0.015625#1000100:-0.09375#0011000:0.078125#0101000:0#1001000:0.015625#0110000:-0.015625#1010000:-0.09375#1100000:-0.015625#0000111:0#0001011:0.015625#0010011:0#0100011:0.015625#1000011:0#0001101:0#0010101:-0.015625#0100101:0#1000101:-0.015625#0011001:0#0101001:-0.015625#1001001:0#0110001:0#1010001:-0.015625#1100001:0#0001110:0.03125#0010110:0.046875#0100110:0#1000110:-0.015625#0011010:0.03125#0101010:0.015625#1001010:-0.03125#0110010:0#1010010:-0.015625#1100010:0#0011100:0.078125#0101100:0#1001100:0.015625#0110100:-0.015625#1010100:-0.09375#1100100:-0.015625#0111000:0#1011000:0.015625#1101000:0#1110000:-0.015625#0001111:0.015625#0010111:0#0100111:0.015625#1000111:0#0011011:0.015625#0101011:0#1001011:0.015625#0110011:0.015625#1010011:0#1100011:0.015625#0011101:0#0101101:-0.015625#1001101:0#0110101:0#1010101:-0.015625#1100101:0#0111001:-0.015625#1011001:0#1101001:-0.015625#1110001:0#0011110:0.03125#0101110:0.015625#1001110:-0.03125#0110110:0#1010110:-0.015625#1100110:0#0111010:0.015625#1011010:-0.03125#1101010:0.015625#1110010:0#0111100:0#1011100:0.015625#1101100:0#1110100:-0.015625#1111000:0#,00:00.0
07-electricitydiscretized-7Att_45312Ins_CBDT.csv,7,45312,0.7,Output-RawTrain-0.7.csv,31718,Output-RawTest-0.7.csv,13594,0.604987704,0.560614977,00:22.1,00:00.0,15174,16544,20,0000010#0001000#0001010#0011010#0100000#0100010#0101000#0101010#0101110#0111010#0111110#1000000#1000010#1001000#1001010#1011011#1100000#1100010#1101000#1101010#,17,0000000#0000001#0000011#0001001#0001011#0100001#0100011#0101001#0101011#1000001#1000011#1001001#1001011#1100001#1100011#1101001#1101011#,5,0000010#00*10*0#01****0#1011011#1*0*0*0#,2,000000*#**0*0*1#,99,0000000:0.140625#0000001:-0.125#0000010:0.015625#0000100:0.140625#0001000:0.015625#0010000:0.140625#0100000:0.015625#1000000:0.015625#0000011:0#0000101:-0.125#0001001:0#0010001:-0.125#0100001:0#1000001:0#0000110:0.015625#0001010:0.015625#0010010:0.015625#0100010:0.015625#1000010:0.015625#0001100:0.015625#0010100:0.140625#0100100:0.015625#1000100:0.015625#0011000:0.015625#0101000:0.015625#1001000:0.015625#0110000:0.015625#1010000:0.015625#1100000:0.015625#0000111:0#0001011:0#0010011:0#0100011:0#1000011:0#0001101:0#0010101:-0.125#0100101:0#1000101:0#0011001:0#0101001:0#1001001:0#0110001:0#1010001:0#1100001:0#0001110:0.015625#0010110:0.015625#0100110:0.015625#1000110:0.015625#0011010:0.015625#0101010:0.015625#1001010:0.015625#0110010:0.015625#1010010:0.015625#1100010:0.015625#0011100:0.015625#0101100:0.015625#1001100:0.015625#0110100:0.015625#1010100:0.015625#1100100:0.015625#0111000:0.015625#1011000:0.015625#1101000:0.015625#1110000:0.015625#0001111:0#0010111:0#0100111:0#1000111:0#0011011:0#0101011:0#1001011:0#0110011:0#1010011:0#1100011:0#0011101:0#0101101:0#1001101:0#0110101:0#1010101:0#1100101:0#0111001:0#1011001:0#1101001:0#1110001:0#0011110:0.015625#0101110:0.015625#1001110:0.015625#0110110:0.015625#1010110:0.015625#1100110:0.015625#0111010:0.015625#1011010:0.015625#1101010:0.015625#1110010:0.015625#0111100:0.015625#1011100:0.015625#1101100:0.015625#1110100:0.015625#1111000:0.015625#,00:00.0
07-electricitydiscretized-7Att_45312Ins_CBDT.csv,7,45312,0.6,Output-RawTrain-0.6.csv,27187,Output-RawTest-0.6.csv,18125,0.650126899,0.576993103,00:19.7,00:00.0,9012,18175,13,0000010#0000011#0001000#0001010#0001011#0100010#0100011#0101000#0101001#0101010#0101011#1000000#1100000#,5,0000000#0000001#0001001#0100000#0100001#,4,0*0*01*#0*010*0#01010**#1*00000#,2,0001001#0*0000*#,99,0000000:0.0390625#0000001:-0.0078125#0000010:0.0390625#0000100:0.0390625#0001000:0.0234375#0010000:0.0390625#0100000:0.0078125#1000000:0.0390625#0000011:-0.0078125#0000101:-0.0078125#0001001:0.0078125#0010001:-0.0078125#0100001:-0.0078125#1000001:-0.0078125#0000110:0.0390625#0001010:0.0234375#0010010:0.0390625#0100010:0.0078125#1000010:0.0390625#0001100:0.0234375#0010100:0.0390625#0100100:0.0078125#1000100:0.0390625#0011000:0.0234375#0101000:-0.0078125#1001000:0.0234375#0110000:0.0078125#1010000:0.0390625#1100000:0.0078125#0000111:-0.0078125#0001011:0.0078125#0010011:-0.0078125#0100011:-0.0078125#1000011:-0.0078125#0001101:0.0078125#0010101:-0.0078125#0100101:-0.0078125#1000101:-0.0078125#0011001:0.0078125#0101001:0.0078125#1001001:0.0078125#0110001:-0.0078125#1010001:-0.0078125#1100001:-0.0078125#0001110:0.0234375#0010110:0.0390625#0100110:0.0078125#1000110:0.0390625#0011010:0.0234375#0101010:-0.0078125#1001010:0.0234375#0110010:0.0078125#1010010:0.0390625#1100010:0.0078125#0011100:0.0234375#0101100:-0.0078125#1001100:0.0234375#0110100:0.0078125#1010100:0.0390625#1100100:0.0078125#0111000:-0.0078125#1011000:0.0234375#1101000:-0.0078125#1110000:0.0078125#0001111:0.0078125#0010111:-0.0078125#0100111:-0.0078125#1000111:-0.0078125#0011011:0.0078125#0101011:0.0078125#1001011:0.0078125#0110011:-0.0078125#1010011:-0.0078125#1100011:-0.0078125#0011101:0.0078125#0101101:0.0078125#1001101:0.0078125#0110101:-0.0078125#1010101:-0.0078125#1100101:-0.0078125#0111001:0.0078125#1011001:0.0078125#1101001:0.0078125#1110001:-0.0078125#0011110:0.0234375#0101110:-0.0078125#1001110:0.0234375#0110110:0.0078125#1010110:0.0390625#1100110:0.0078125#0111010:-0.0078125#1011010:0.0234375#1101010:-0.0078125#1110010:0.0078125#0111100:-0.0078125#1011100:0.0234375#1101100:-0.0078125#1110100:0.0078125#1111000:-0.0078125#,00:00.0
07-electricitydiscretized-7Att_45312Ins_CBDT.csv,7,45312,0.5,Output-RawTrain-0.5.csv,22656,Output-RawTest-0.5.csv,22656,0.640271893,0.632547669,00:15.5,00:00.1,7573,15083,7,0001000#0001010#0001011#0101000#0101001#0101010#0101011#,9,0000000#0000001#0000010#0000011#0001001#0100000#0100001#0100010#0100011#,3,0001011#0*010*0#01010**#,2,0001001#0*000**#,99,0000000:0.0703125#0000001:-0.0078125#0000010:0.0078125#0000100:0.0703125#0001000:0.0546875#0010000:0.0703125#0100000:0.0078125#1000000:0.0703125#0000011:-0.0078125#0000101:-0.0078125#0001001:0.0078125#0010001:-0.0078125#0100001:-0.0078125#1000001:-0.0078125#0000110:0.0078125#0001010:-0.0078125#0010010:0.0078125#0100010:0.0078125#1000010:0.0078125#0001100:0.0546875#0010100:0.0703125#0100100:0.0078125#1000100:0.0703125#0011000:0.0546875#0101000:-0.0078125#1001000:0.0546875#0110000:0.0078125#1010000:0.0703125#1100000:0.0078125#0000111:-0.0078125#0001011:0.0078125#0010011:-0.0078125#0100011:-0.0078125#1000011:-0.0078125#0001101:0.0078125#0010101:-0.0078125#0100101:-0.0078125#1000101:-0.0078125#0011001:0.0078125#0101001:0.0078125#1001001:0.0078125#0110001:-0.0078125#1010001:-0.0078125#1100001:-0.0078125#0001110:-0.0078125#0010110:0.0078125#0100110:0.0078125#1000110:0.0078125#0011010:-0.0078125#0101010:-0.0078125#1001010:-0.0078125#0110010:0.0078125#1010010:0.0078125#1100010:0.0078125#0011100:0.0546875#0101100:-0.0078125#1001100:0.0546875#0110100:0.0078125#1010100:0.0703125#1100100:0.0078125#0111000:-0.0078125#1011000:0.0546875#1101000:-0.0078125#1110000:0.0078125#0001111:0.0078125#0010111:-0.0078125#0100111:-0.0078125#1000111:-0.0078125#0011011:0.0078125#0101011:0.0078125#1001011:0.0078125#0110011:-0.0078125#1010011:-0.0078125#1100011:-0.0078125#0011101:0.0078125#0101101:0.0078125#1001101:0.0078125#0110101:-0.0078125#1010101:-0.0078125#1100101:-0.0078125#0111001:0.0078125#1011001:0.0078125#1101001:0.0078125#1110001:-0.0078125#0011110:-0.0078125#0101110:-0.0078125#1001110:-0.0078125#0110110:0.0078125#1010110:0.0078125#1100110:0.0078125#0111010:-0.0078125#1011010:-0.0078125#1101010:-0.0078125#1110010:0.0078125#0111100:-0.0078125#1011100:0.0546875#1101100:-0.0078125#1110100:0.0078125#1111000:-0.0078125#,00:00.0
07-electricitydiscretized-7Att_45312Ins_CBDT.csv,7,45312,0.4,Output-RawTrain-0.4.csv,18124,Output-RawTest-0.4.csv,27188,0.637442066,0.638369869,00:12.3,00:00.1,5077,13047,8,0001000#0001001#0001010#0001011#0101000#0101001#0101010#0101011#,8,0000000#0000001#0000010#0000011#0100000#0100001#0100010#0100011#,1,0*010**#,1,0*000**#,99,0000000:0.0625#0000001:0#0000010:0#0000100:0.0625#0001000:0.0625#0010000:0.0625#0100000:0#1000000:0.0625#0000011:0#0000101:0#0001001:0#0010001:0#0100001:0#1000001:0#0000110:0#0001010:0#0010010:0#0100010:0#1000010:0#0001100:0.0625#0010100:0.0625#0100100:0#1000100:0.0625#0011000:0.0625#0101000:0#1001000:0.0625#0110000:0#1010000:0.0625#1100000:0#0000111:0#0001011:0#0010011:0#0100011:0#1000011:0#0001101:0#0010101:0#0100101:0#1000101:0#0011001:0#0101001:0#1001001:0#0110001:0#1010001:0#1100001:0#0001110:0#0010110:0#0100110:0#1000110:0#0011010:0#0101010:0#1001010:0#0110010:0#1010010:0#1100010:0#0011100:0.0625#0101100:0#1001100:0.0625#0110100:0#1010100:0.0625#1100100:0#0111000:0#1011000:0.0625#1101000:0#1110000:0#0001111:0#0010111:0#0100111:0#1000111:0#0011011:0#0101011:0#1001011:0#0110011:0#1010011:0#1100011:0#0011101:0#0101101:0#1001101:0#0110101:0#1010101:0#1100101:0#0111001:0#1011001:0#1101001:0#1110001:0#0011110:0#0101110:0#1001110:0#0110110:0#1010110:0#1100110:0#0111010:0#1011010:0#1101010:0#1110010:0#0111100:0#1011100:0.0625#1101100:0#1110100:0#1111000:0#,00:00.0
07-electricitydiscretized-7Att_45312Ins_CBDT.csv,7,45312,0.3,Output-RawTrain-0.3.csv,13593,Output-RawTest-0.3.csv,31719,0.609872729,0.650052019,00:09.0,00:00.1,3974,9619,2,0001000#0101000#,2,0000000#0100000#,1,0*01000#,1,0*00000#,99,0000000:0.015625#0000001:0.015625#0000010:0.015625#0000100:0.015625#0001000:0.015625#0010000:0.015625#0100000:0#1000000:0.015625#0000011:0.015625#0000101:0.015625#0001001:0.015625#0010001:0.015625#0100001:0#1000001:0.015625#0000110:0.015625#0001010:0.015625#0010010:0.015625#0100010:0#1000010:0.015625#0001100:0.015625#0010100:0.015625#0100100:0#1000100:0.015625#0011000:0.015625#0101000:0#1001000:0.015625#0110000:0#1010000:0.015625#1100000:0#0000111:0.015625#0001011:0.015625#0010011:0.015625#0100011:0#1000011:0.015625#0001101:0.015625#0010101:0.015625#0100101:0#1000101:0.015625#0011001:0.015625#0101001:0#1001001:0.015625#0110001:0#1010001:0.015625#1100001:0#0001110:0.015625#0010110:0.015625#0100110:0#1000110:0.015625#0011010:0.015625#0101010:0#1001010:0.015625#0110010:0#1010010:0.015625#1100010:0#0011100:0.015625#0101100:0#1001100:0.015625#0110100:0#1010100:0.015625#1100100:0#0111000:0#1011000:0.015625#1101000:0#1110000:0#0001111:0.015625#0010111:0.015625#0100111:0#1000111:0.015625#0011011:0.015625#0101011:0#1001011:0.015625#0110011:0#1010011:0.015625#1100011:0#0011101:0.015625#0101101:0#1001101:0.015625#0110101:0#1010101:0.015625#1100101:0#0111001:0#1011001:0.015625#1101001:0#1110001:0#0011110:0.015625#0101110:0#1001110:0.015625#0110110:0#1010110:0.015625#1100110:0#0111010:0#1011010:0.015625#1101010:0#1110010:0#0111100:0#1011100:0.015625#1101100:0#1110100:0#1111000:0#,00:00.0
07-electricitydiscretized-7Att_45312Ins_CBDT.csv,7,45312,0.2,Output-RawTrain-0.2.csv,9062,Output-RawTest-0.2.csv,36250,0.596225999,0.608386207,00:06.0,00:00.1,1900,7162,1,0101000#,3,0000000#0001000#0100000#,1,0101000#,2,000*000#0100000#,99,0000000:0.0234375#0000001:0.0234375#0000010:0.0234375#0000100:0.0234375#0001000:0.0078125#0010000:0.0234375#0100000:0.0078125#1000000:0.0234375#0000011:0.0234375#0000101:0.0234375#0001001:0.0078125#0010001:0.0234375#0100001:0.0078125#1000001:0.0234375#0000110:0.0234375#0001010:0.0078125#0010010:0.0234375#0100010:0.0078125#1000010:0.0234375#0001100:0.0078125#0010100:0.0234375#0100100:0.0078125#1000100:0.0234375#0011000:0.0078125#0101000:-0.0078125#1001000:0.0078125#0110000:0.0078125#1010000:0.0234375#1100000:0.0078125#0000111:0.0234375#0001011:0.0078125#0010011:0.0234375#0100011:0.0078125#1000011:0.0234375#0001101:0.0078125#0010101:0.0234375#0100101:0.0078125#1000101:0.0234375#0011001:0.0078125#0101001:-0.0078125#1001001:0.0078125#0110001:0.0078125#1010001:0.0234375#1100001:0.0078125#0001110:0.0078125#0010110:0.0234375#0100110:0.0078125#1000110:0.0234375#0011010:0.0078125#0101010:-0.0078125#1001010:0.0078125#0110010:0.0078125#1010010:0.0234375#1100010:0.0078125#0011100:0.0078125#0101100:-0.0078125#1001100:0.0078125#0110100:0.0078125#1010100:0.0234375#1100100:0.0078125#0111000:-0.0078125#1011000:0.0078125#1101000:-0.0078125#1110000:0.0078125#0001111:0.0078125#0010111:0.0234375#0100111:0.0078125#1000111:0.0234375#0011011:0.0078125#0101011:-0.0078125#1001011:0.0078125#0110011:0.0078125#1010011:0.0234375#1100011:0.0078125#0011101:0.0078125#0101101:-0.0078125#1001101:0.0078125#0110101:0.0078125#1010101:0.0234375#1100101:0.0078125#0111001:-0.0078125#1011001:0.0078125#1101001:-0.0078125#1110001:0.0078125#0011110:0.0078125#0101110:-0.0078125#1001110:0.0078125#0110110:0.0078125#1010110:0.0234375#1100110:0.0078125#0111010:-0.0078125#1011010:0.0078125#1101010:-0.0078125#1110010:0.0078125#0111100:-0.0078125#1011100:0.0078125#1101100:-0.0078125#1110100:0.0078125#1111000:-0.0078125#,00:00.0
07-electricitydiscretized-7Att_45312Ins_CBDT.csv,7,45312,0.1,Output-RawTrain-0.1.csv,4531,Output-RawTest-0.1.csv,40781,0.604502317,0.572227263,00:03.0,00:00.1,0,4531,0,,4,0000000#0001000#0100000#0101000#,0,,1,0*0*000#,99,0000000:0.03125#0000001:0.03125#0000010:0.03125#0000100:0.03125#0001000:0#0010000:0.03125#0100000:0#1000000:0.03125#0000011:0.03125#0000101:0.03125#0001001:0#0010001:0.03125#0100001:0#1000001:0.03125#0000110:0.03125#0001010:0#0010010:0.03125#0100010:0#1000010:0.03125#0001100:0#0010100:0.03125#0100100:0#1000100:0.03125#0011000:0#0101000:0#1001000:0#0110000:0#1010000:0.03125#1100000:0#0000111:0.03125#0001011:0#0010011:0.03125#0100011:0#1000011:0.03125#0001101:0#0010101:0.03125#0100101:0#1000101:0.03125#0011001:0#0101001:0#1001001:0#0110001:0#1010001:0.03125#1100001:0#0001110:0#0010110:0.03125#0100110:0#1000110:0.03125#0011010:0#0101010:0#1001010:0#0110010:0#1010010:0.03125#1100010:0#0011100:0#0101100:0#1001100:0#0110100:0#1010100:0.03125#1100100:0#0111000:0#1011000:0#1101000:0#1110000:0#0001111:0#0010111:0.03125#0100111:0#1000111:0.03125#0011011:0#0101011:0#1001011:0#0110011:0#1010011:0.03125#1100011:0#0011101:0#0101101:0#1001101:0#0110101:0#1010101:0.03125#1100101:0#0111001:0#1011001:0#1101001:0#1110001:0#0011110:0#0101110:0#1001110:0#0110110:0#1010110:0.03125#1100110:0#0111010:0#1011010:0#1101010:0#1110010:0#0111100:0#1011100:0#1101100:0#1110100:0#1111000:0#,00:00.0
07-electricitydiscretized-7Att_45312Ins_CBDT.csv,7,45312,0.09,Output-RawTrain-0.09.csv,4078,Output-RawTest-0.09.csv,41234,0.621383031,0.604428384,00:02.8,00:00.1,1224,2854,1,0101000#,3,0000000#0001000#0100000#,1,0101000#,2,000*000#0100000#,99,0000000:0.0234375#0000001:0.0234375#0000010:0.0234375#0000100:0.0234375#0001000:0.0078125#0010000:0.0234375#0100000:0.0078125#1000000:0.0234375#0000011:0.0234375#0000101:0.0234375#0001001:0.0078125#0010001:0.0234375#0100001:0.0078125#1000001:0.0234375#0000110:0.0234375#0001010:0.0078125#0010010:0.0234375#0100010:0.0078125#1000010:0.0234375#0001100:0.0078125#0010100:0.0234375#0100100:0.0078125#1000100:0.0234375#0011000:0.0078125#0101000:-0.0078125#1001000:0.0078125#0110000:0.0078125#1010000:0.0234375#1100000:0.0078125#0000111:0.0234375#0001011:0.0078125#0010011:0.0234375#0100011:0.0078125#1000011:0.0234375#0001101:0.0078125#0010101:0.0234375#0100101:0.0078125#1000101:0.0234375#0011001:0.0078125#0101001:-0.0078125#1001001:0.0078125#0110001:0.0078125#1010001:0.0234375#1100001:0.0078125#0001110:0.0078125#0010110:0.0234375#0100110:0.0078125#1000110:0.0234375#0011010:0.0078125#0101010:-0.0078125#1001010:0.0078125#0110010:0.0078125#1010010:0.0234375#1100010:0.0078125#0011100:0.0078125#0101100:-0.0078125#1001100:0.0078125#0110100:0.0078125#1010100:0.0234375#1100100:0.0078125#0111000:-0.0078125#1011000:0.0078125#1101000:-0.0078125#1110000:0.0078125#0001111:0.0078125#0010111:0.0234375#0100111:0.0078125#1000111:0.0234375#0011011:0.0078125#0101011:-0.0078125#1001011:0.0078125#0110011:0.0078125#1010011:0.0234375#1100011:0.0078125#0011101:0.0078125#0101101:-0.0078125#1001101:0.0078125#0110101:0.0078125#1010101:0.0234375#1100101:0.0078125#0111001:-0.0078125#1011001:0.0078125#1101001:-0.0078125#1110001:0.0078125#0011110:0.0078125#0101110:-0.0078125#1001110:0.0078125#0110110:0.0078125#1010110:0.0234375#1100110:0.0078125#0111010:-0.0078125#1011010:0.0078125#1101010:-0.0078125#1110010:0.0078125#0111100:-0.0078125#1011100:0.0078125#1101100:-0.0078125#1110100:0.0078125#1111000:-0.0078125#,00:00.0
07-electricitydiscretized-7Att_45312Ins_CBDT.csv,7,45312,0.08,Output-RawTrain-0.08.csv,3624,Output-RawTest-0.08.csv,41688,0.610099338,0.640424103,00:02.4,00:00.1,1674,1950,2,0001000#0101000#,2,0000000#0100000#,1,0*01000#,1,0*00000#,99,0000000:0.015625#0000001:0.015625#0000010:0.015625#0000100:0.015625#0001000:0.015625#0010000:0.015625#0100000:0#1000000:0.015625#0000011:0.015625#0000101:0.015625#0001001:0.015625#0010001:0.015625#0100001:0#1000001:0.015625#0000110:0.015625#0001010:0.015625#0010010:0.015625#0100010:0#1000010:0.015625#0001100:0.015625#0010100:0.015625#0100100:0#1000100:0.015625#0011000:0.015625#0101000:0#1001000:0.015625#0110000:0#1010000:0.015625#1100000:0#0000111:0.015625#0001011:0.015625#0010011:0.015625#0100011:0#1000011:0.015625#0001101:0.015625#0010101:0.015625#0100101:0#1000101:0.015625#0011001:0.015625#0101001:0#1001001:0.015625#0110001:0#1010001:0.015625#1100001:0#0001110:0.015625#0010110:0.015625#0100110:0#1000110:0.015625#0011010:0.015625#0101010:0#1001010:0.015625#0110010:0#1010010:0.015625#1100010:0#0011100:0.015625#0101100:0#1001100:0.015625#0110100:0#1010100:0.015625#1100100:0#0111000:0#1011000:0.015625#1101000:0#1110000:0#0001111:0.015625#0010111:0.015625#0100111:0#1000111:0.015625#0011011:0.015625#0101011:0#1001011:0.015625#0110011:0#1010011:0.015625#1100011:0#0011101:0.015625#0101101:0#1001101:0.015625#0110101:0#1010101:0.015625#1100101:0#0111001:0#1011001:0.015625#1101001:0#1110001:0#0011110:0.015625#0101110:0#1001110:0.015625#0110110:0#1010110:0.015625#1100110:0#0111010:0#1011010:0.015625#1101010:0#1110010:0#0111100:0#1011100:0.015625#1101100:0#1110100:0#1111000:0#,00:00.0
